trial_number,state,value,brier_score,duration,params,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,dataset,test_brier_score
111,1,-0.11437701969876746,0.11437701969876746,16.423732,"{'n_estimators': 1315, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1315,log_loss,10.0,6,1,sqrt,,Titanic,0.1509247744268588
112,1,-0.11407436206154664,0.11407436206154664,16.804603,"{'n_estimators': 1343, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1343,log_loss,10.0,7,1,sqrt,,Titanic,0.1509247744268588
113,1,-0.11409974508389809,0.11409974508389809,16.982932,"{'n_estimators': 1362, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1362,log_loss,10.0,7,1,sqrt,,Titanic,0.1509247744268588
114,1,-0.11409974508389809,0.11409974508389809,17.004743,"{'n_estimators': 1362, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1362,log_loss,10.0,7,1,sqrt,,Titanic,0.1509247744268588
115,1,-0.1143870218134592,0.1143870218134592,16.860517,"{'n_estimators': 1348, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1348,log_loss,10.0,8,1,sqrt,,Titanic,0.1509247744268588
116,2,-0.1121401387005172,0.1121401387005172,13.180154,"{'n_estimators': 1305, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1305,log_loss,15.0,7,1,sqrt,,Titanic,0.1509247744268588
117,2,-0.11524143146106923,0.11524143146106923,3.095624,"{'n_estimators': 1363, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 0.1, 'max_samples': None}",1363,gini,10.0,9,1,0.1,,Titanic,0.1509247744268588
118,2,-0.11218331186174016,0.11218331186174016,6.556526,"{'n_estimators': 650, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",650,log_loss,20.0,7,1,sqrt,,Titanic,0.1509247744268588
119,1,-0.11441631861792778,0.11441631861792778,15.997778,"{'n_estimators': 1283, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1283,log_loss,10.0,8,1,sqrt,,Titanic,0.1509247744268588
120,2,-0.11425053534467912,0.11425053534467912,3.215979,"{'n_estimators': 1324, 'criterion': 'log_loss', 'max_depth': None, 'min_samples_split': 12, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.7}",1324,log_loss,,12,1,sqrt,0.7,Titanic,0.1509247744268588
121,1,-0.11410743215930592,0.11410743215930592,17.505443,"{'n_estimators': 1406, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1406,log_loss,10.0,7,1,sqrt,,Titanic,0.1509247744268588
