trial_number,state,value,brier_score,duration,params,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,dataset,test_brier_score
68,2,-0.15184503034820693,0.15184503034820693,2.749488,"{'n_estimators': 1433, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1433,entropy,15.0,4,4,sqrt,0.9,Gym,0.17852989651567044
69,2,-0.15181843857611865,0.15181843857611865,2.440116,"{'n_estimators': 1268, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': 0.9}",1268,entropy,15.0,3,5,sqrt,0.9,Gym,0.17852989651567044
70,1,-0.15495331249289682,0.15495331249289682,13.415642,"{'n_estimators': 1390, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_samples': 0.9}",1390,entropy,15.0,2,3,sqrt,0.9,Gym,0.17852989651567044
71,1,-0.15470780815481344,0.15470780815481344,12.805169,"{'n_estimators': 1334, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1334,entropy,15.0,4,4,sqrt,0.9,Gym,0.17852989651567044
72,2,-0.15182014673621522,0.15182014673621522,2.572728,"{'n_estimators': 1338, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1338,entropy,15.0,4,4,sqrt,0.9,Gym,0.17852989651567044
73,1,-0.15471801000547647,0.15471801000547647,11.751832,"{'n_estimators': 1222, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1222,entropy,15.0,3,4,sqrt,0.9,Gym,0.17852989651567044
74,1,-0.15472364060123395,0.15472364060123395,13.829215,"{'n_estimators': 1463, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': 0.9}",1463,entropy,15.0,2,5,sqrt,0.9,Gym,0.17852989651567044
75,1,-0.15471218712617998,0.15471218712617998,11.808184,"{'n_estimators': 1236, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1236,entropy,15.0,2,4,sqrt,0.9,Gym,0.17852989651567044
76,1,-0.1549843814867189,0.1549843814867189,11.80371,"{'n_estimators': 1226, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_samples': 0.9}",1226,entropy,15.0,4,3,sqrt,0.9,Gym,0.17852989651567044
77,2,-0.15263472043333765,0.15263472043333765,2.253882,"{'n_estimators': 1211, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1211,gini,15.0,5,4,sqrt,0.9,Gym,0.17852989651567044
