trial_number,state,value,brier_score,duration,params,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,dataset,test_brier_score
70,2,-0.18643767402363984,0.18643767402363984,1.223342,"{'n_estimators': 439, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 13, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_samples': 0.5}",439,entropy,,13,3,sqrt,0.5,Bank,0.18388620638580755
71,1,-0.1853189199695497,0.1853189199695497,20.719571,"{'n_estimators': 1312, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 14, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1312,entropy,,14,1,sqrt,0.9,Bank,0.18388620638580755
72,2,-0.1868986574912137,0.1868986574912137,4.044339,"{'n_estimators': 1419, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 14, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_samples': 0.9}",1419,entropy,,14,8,sqrt,0.9,Bank,0.18388620638580755
73,1,-0.18527919160882486,0.18527919160882486,21.048583,"{'n_estimators': 1337, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1337,entropy,,15,1,sqrt,0.9,Bank,0.18388620638580755
74,1,-0.18527271426148098,0.18527271426148098,20.827714,"{'n_estimators': 1327, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1327,entropy,,15,1,sqrt,0.9,Bank,0.18388620638580755
75,1,-0.18528019176038282,0.18528019176038282,20.945386,"{'n_estimators': 1335, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1335,entropy,,15,1,sqrt,0.9,Bank,0.18388620638580755
76,2,-0.18579902811795376,0.18579902811795376,4.070338,"{'n_estimators': 1470, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 0.1, 'max_samples': 0.7}",1470,entropy,,15,1,0.1,0.7,Bank,0.18388620638580755
77,2,-0.18523556158326718,0.18523556158326718,3.627307,"{'n_estimators': 1213, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 19, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.9}",1213,entropy,,19,2,sqrt,0.9,Bank,0.18388620638580755
78,2,-0.18555431343079012,0.18555431343079012,5.705506,"{'n_estimators': 1497, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 17, 'min_samples_leaf': 6, 'max_features': 0.33, 'max_samples': 0.9}",1497,entropy,20.0,17,6,0.33,0.9,Bank,0.18388620638580755
79,2,-0.19072461472642027,0.19072461472642027,3.757759,"{'n_estimators': 1423, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1423,log_loss,10.0,15,1,sqrt,0.9,Bank,0.18388620638580755
80,1,-0.18545515673580412,0.18545515673580412,19.220046,"{'n_estimators': 1262, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 16, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.9}",1262,entropy,,16,2,sqrt,0.9,Bank,0.18388620638580755
81,1,-0.18533315348224516,0.18533315348224516,20.954466,"{'n_estimators': 1335, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 14, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1335,entropy,,14,1,sqrt,0.9,Bank,0.18388620638580755
82,2,-0.18522511929802907,0.18522511929802907,4.10234,"{'n_estimators': 1321, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 14, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1321,entropy,,14,1,sqrt,0.9,Bank,0.18388620638580755
83,1,-0.18530246044144047,0.18530246044144047,20.207253,"{'n_estimators': 1289, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 16, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1289,entropy,,16,1,sqrt,0.9,Bank,0.18388620638580755
84,2,-0.18524788556843985,0.18524788556843985,4.436691,"{'n_estimators': 1454, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 17, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1454,entropy,,17,1,sqrt,0.9,Bank,0.18388620638580755
85,2,-0.18647357285591928,0.18647357285591928,3.369218,"{'n_estimators': 1172, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.9}",1172,entropy,15.0,15,2,sqrt,0.9,Bank,0.18388620638580755
86,2,-0.1852580534824497,0.1852580534824497,4.702854,"{'n_estimators': 1398, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 16, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1398,entropy,,16,1,sqrt,,Bank,0.18388620638580755
87,2,-0.18590277753872617,0.18590277753872617,3.239649,"{'n_estimators': 1126, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 18, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.9}",1126,gini,,18,2,sqrt,0.9,Bank,0.18388620638580755
